WP_No,Date_Time,y_Proj,x_Proj,Elevation,Name,BH_Type,Atm Pressure_mmHg,SPC_MScm,Cond_MScm,pH,Temp_0C,Li_ppb,Be_ppb,B_ppb,Na_ppb,Mg_ppb,Al_ppb,P_ppb,K_ppb,Ca_ppb,Sc_ppb,V_ppb,Cr_ppb,Mn_ppb,Fe_ppb,Co_ppb,Ni_ppb,Cu_ppb,Zn_ppb,As_ppb,Se_ppb,Rb_ppb,Sr_ppb,Y_ppb,Mo_ppb,Cd_ppb,Cs_ppb,Ba_ppb,Re_ppb,Tl_ppb,Pb_ppb,Bi_ppb,Th_ppb,U_ppb,Si_ppm,SiO2_ppm,NH4_ppm,NO3N_ppm,Cl_ppm,HCO3_ppm,F_ppm,NO3_ppm,SO4_ppm,PO4_ppm,S_ppm,CaCO3_ppm,NO2_ppm,TDS_ppm
91,2/8/24 15:14,2.30163,35.45461,704.95,Ikoree BH 1,SBH pump,677.7,2229,2504,7.2,32.8,7.01,0.12,65.56,99658.62,9934.24,6.74,158.61,4292.04,17309.52,3.28,14.74,4.35,5.87,115.45,0.11,1.26,4.6,183.93,0.4,1.94,2.39,329.69,0.06,4.85,0.03,1.35,114.59,0.04,0.09,0.44,0.41,0.02,10.55,0,0,0.33,0,102,0,3.04,36.4,123,0.15,0,269,0.08,1377.2
92,2/8/24 16:22,2.29528,35.48987,737.74,Ikoree BH 2,DBH solar,674.6,1318,1409,7,29.5,18,0.32,118.53,83738.6,24748.73,15.13,213.32,7613.61,46997.17,6.33,55.73,4.82,33.34,215.9,0.3,0.42,3.41,543.35,0.66,3.31,5.93,1038.07,0.05,6.62,0.04,4.06,343.89,0.02,0.11,0.65,0.68,0.04,14.72,,,,,,,,,,,,,,774.95
94,2/8/24 17:10,2.32286,35.46822,706.23,Ekiriem Well,OHD well,676.1,335.9,385.9,7.6,27.6,13.2,1.06,87.72,7236.58,7119.15,2321.61,696.19,10629.22,76192.25,3.86,27.79,7.23,324.88,970.01,4.44,5.4,10.47,14.42,0.85,3.15,7.87,536.79,7.27,0.95,0.12,3.81,336.42,0.03,0.13,1.23,1.04,0.16,0.85,0,0,0.01,0,3.09,0,0.12,19.4,6.77,0.25,0,143,0.06,212.25
95,2/8/24 18:12,2.3426,35.48984,724.75,Lomonyang,OHD well,674.7,352.7,374,7.7,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,7.11,,0.15,14.6,11.8,0.19,,90.6,0.04,205.7
96,2/8/24 18:36,2.3272,35.50718,748.37,Nkuja Engol,DBH solar,672.4,704,731,7.2,28,30.01,0.37,125.9,17441.44,28513.65,5.57,195.6,8529.53,73948.25,4.85,3.7,5.32,23.32,634.44,0.24,0.71,2.65,21.13,0.73,3.92,7.03,629.55,0.02,7.77,0.05,4.25,55.79,0.04,0.14,0.52,1.48,0.09,5.38,,,,,,,,,,,,,,402.05
97,2/8/24 19:05,2.32586,35.46462,710.31,Kaagete Ekriem,DBH solar,674.7,1221,1355,7.7,35.9,6.98,0.1,62.08,65093.57,13826.66,4.79,120.51,2652.41,26868.77,1.44,5.87,2.23,3.21,104.86,0.12,0.32,3.84,12.99,0.38,1.67,2.86,487.23,0.02,9.59,0.03,1.55,264.69,0.05,0.12,0.26,0.43,0.01,11.49,,,2.53,,24.8,,2.24,9.43,76.7,0.01,,309,0.03,745.25
99,3/8/24 15:01,2.27634,35.56563,828.2,Kaakipom,DBH solar,666,859,889,7.3,29.6,9.51,0.15,59.45,11280,16222.85,3.19,135.84,4134.86,37918.97,1.38,15.01,2.36,50.95,135.83,0.27,0.29,1.83,28.74,0.47,1.7,2.77,389.54,0.01,1.53,0.04,1.33,193.05,0.04,0.07,0.34,0.96,0.03,1.83,,,,,,,,,,,,,,488.95
100,3/8/24 15:27,2.271,35.53449,785.01,Napusinyei,SBH pump,669.5,694,763,7.4,31.1,26.74,0.39,95.73,26484.38,22729.51,4.57,195.94,7605.99,59645.19,4.7,35.11,5.08,8.84,370.76,0.22,0.48,3.39,47.73,0.86,3.48,5.05,468.22,0.03,2.77,0.06,4.03,135.41,0.04,0.11,0.5,1.16,0.07,2.69,,,,,,,,,,,,,,419.65
105,3/8/24 17:18,2.25816,35.43448,693.25,Kambi Baraka,DBH solar,675.4,3014,3348,7.7,31.8,8.57,0.12,60.35,100951.31,20889.88,6.55,140.68,4338.07,29832.28,2.7,17.5,2.37,1.62,119.62,0.08,0.34,4.82,6.51,0.53,2.22,2.21,693.84,0.01,3.94,0.05,1.23,,0.04,0.11,0.36,0.57,0.02,4.41,,,3.16,,433,,2.56,20.5,360,0.1,,586,0.03,1841.4
106,3/8/24 17:49,2.23014,35.44057,701.52,Nyangaita,DBH solar,674.3,1737,1969,7.5,32.9,22.88,0.34,97.72,142039.57,32214.11,5.14,192,8519.04,53070.43,4.14,24.05,4.72,10.81,229.35,0.19,0.36,5.03,6.59,0.5,4.53,7.18,949.23,0.1,7.72,0.04,4.85,222.26,0.04,0.27,0.44,0.92,0.04,14.37,,,,,,,,,,,,,,1082.95
107,3/8/24 18:28,2.23693,35.48393,738.61,Kaekamto,DBH solar,670.8,1608,1825,7.8,33.1,29.21,0.37,136.94,263594.2,19800.67,4.67,217.37,9549.9,26262.76,4.88,32.42,4.89,2.06,193.92,0.2,0.32,8.76,53.78,0.86,4.08,6.96,438.95,0.07,80.43,0.16,5,9.93,0.06,0.23,0.88,1.33,0.09,24.92,,,,,,,,,,,,,,1003.75
109,5/8/24 15:39,3.05432,35.92184,445.34,Kangite Buso BH,SBH pump,697.4,626,731,8.2,35.7,2.71,0.1,22.91,53326.3,227.66,7.57,206.55,952.87,1311.83,1.91,108.95,2.81,0.93,78.46,0.05,0.08,4.17,13.19,2.46,1.48,1.7,10.49,0.01,0.97,0.02,1.16,22.18,0.02,0.03,0.46,0.3,0.01,1.05,,,0.01,,6.62,,1.57,2.92,9.02,0.61,,5.51,0.03,402.05
111,5/8/24 16:35,3.10103,36.04518,409,Nang'ole Kuruk BH,DBH solar,700.6,317.5,346.2,7.3,31.8,2.28,0.09,22.55,11065.31,2484.78,3.74,126.55,2198.58,11419.75,2.6,8.37,2.64,0.76,84.04,0.07,0.12,2.1,2.1,0.29,1.59,1.67,137.01,0.01,1.19,0.01,1.07,65.5,0.04,0.04,0.14,0.26,0.01,0.54,,,,,,,,,,,,,,190.41
114,5/8/24 17:34,3.08368,35.99512,431.86,Endoroit Borehole,SBH pump,698,529,622,7.6,35.8,11.26,0.27,38.35,71026.56,6132.73,8.3,208.03,5227.21,9301.64,4.19,3.37,4.73,69.2,170.88,0.16,0.26,3.68,10.68,0.88,3.2,4.58,198.71,0.04,3.58,0.02,4.31,36.59,0.02,0.08,0.41,0.79,0.04,1.06,,,,,,,,,,,,,,342.1
115,5/8/24 18:14,3.10837,35.99012,424.64,Loreamatet Borehole,SBH pump,698.6,318.1,319.4,7.7,27.2,70.31,2.28,1208.65,22684.71,7998.27,12.93,301.93,6695.45,34992.37,4.43,9.07,7.29,222.98,261.73,1.57,2.66,6.3,13.29,5.62,9.16,15.28,335.39,1.13,4.06,1.71,9.66,84,0.85,6.38,6.49,10.2,1.63,1.65,,,0.01,,15.9,,0.53,0.34,15.5,0.1,,106,0.03,175.67
116,5/8/24 18:58,3.04992,35.97256,433.49,Cornerstone BH,SBH pump,696.6,1428,1698,8.6,36.8,10.43,0.15,282.79,139603.24,304.32,364.6,180.01,1232.86,1441.63,1.79,270.84,4.71,8.32,209.96,0.19,0.42,9.12,377.42,2.59,2.46,3.79,21.02,0.25,8.73,0.04,2.16,68.48,0.03,0.15,12.95,2.44,0.14,2.09,,,4.39,,74.5,,3.81,0.8,86.3,0.14,,5.83,0.03,933.9
117,5/8/24 19:17,3.04451,35.95282,447.41,Kenha BH1,DBH solar,695.4,586,687,8.2,35.8,14.53,0.35,107.94,104607.13,269.23,25.88,229.47,1899.42,3186.16,2.38,90.32,13.6,1.57,168.03,0.15,0.13,3.9,3.49,2.16,3.37,4.97,19.13,0.01,1.86,0.04,4.21,20.44,0.03,0.11,0.48,1.4,0.07,1.71,,,,,,,,,,,,,,377.85
118,5/8/24 19:45,3.07906,35.95483,459.2,Nang'orichoto BH,DBH solar,694.4,415,454,8,34,15.42,0.39,140.53,76088.62,1746.92,21.99,204.36,2377.86,6660.82,2.83,95.99,8.17,1.77,167.44,0.13,0.13,3.17,6.21,2.09,2.81,5.01,142.12,0.01,1.95,0.06,4.24,39.35,0.03,0.14,0.54,1.47,0.09,1.24,,,,,,,,,,,,,,249.7
119,5/8/24 20:48,3.14215,35.86658,455.79,TBI Main Campus BH,DBH solar,693.9,373.5,394,7.5,29.8,23.8,0.55,298.48,32598.97,8474.8,7.3,227.24,4849.56,30123.83,3,3.54,5.15,61.34,230.7,0.2,0.31,2.71,22.2,1.29,3.75,6.55,321.93,0.03,4.79,0.09,5.63,125.46,0.06,0.3,0.96,2.54,0.15,0.23,,,,,,,,,,,,,,216.7
120,6/8/24 16:25,2.51805,36.24139,471.15,Lomunyen Akwan BH,DBH solar,694.3,458,510,7.9,32.5,2.79,0.11,19.01,23272.96,3136.6,3.09,133.49,1801.44,12742.98,1.55,4.67,2.33,1.03,88.88,0.06,0.13,2.85,7.32,0.39,1.42,2.32,98.78,0.01,1.11,-0.01,1.19,24.63,0.04,0.08,0.19,0.28,0.01,0.72,,,0.01,,11.8,,0.9,0.84,10.2,1.17,,99.6,0.03,280.5
123,6/8/24 17:30,2.5819,36.2391,464.68,Loupwala BH ,DBH solar,694.6,406.9,423.9,7.6,29.1,10.95,0.34,36.68,31124.92,11913.09,5.39,185.46,3461.92,45441.64,1.82,0.04,4.84,0.65,153.52,0.12,0.09,1.59,1.17,0.54,3.37,4,0.15,0,0.03,0.04,3.65,0.03,0.02,0.09,0.23,0.87,0.06,0.85,,,,,,,,,,,,,,233.15
126,6/8/24 18:07,2.67574,36.24698,460.54,Elupe BH,SBH pump,695.1,376,431.4,8.1,34,32.2,0.68,513.92,45563.92,7936.43,11.63,213.37,4407.33,25244.75,3.73,26.58,5.28,4.86,204.82,0.17,0.21,3.64,8.31,2.21,3.97,7.83,280.46,0.02,3.73,0.16,5.83,30.7,0.07,0.41,1.45,3.92,0.23,1.05,,,0.01,,5.36,,0.82,1.2,5.27,1.32,,84.4,0.03,237.27
129,6/8/24 18:52,2.73099,36.24178,453.24,LokwarAngikaleso,SBH pump,695,458,518,8.1,34.6,12.74,0.28,66.87,81343.64,1211.19,19.02,208.71,2401.75,7499.58,3.25,31.02,5.18,27.39,182.43,0.63,0.83,3.77,24.78,1.36,3.26,5.61,63.91,0.04,4.03,0.03,4.67,13.72,0.02,0.11,0.69,1.04,0.06,1.05,,,,,,,,,,,,,,284.9
130,6/8/24 19:18,2.77635,36.20694,421.1,Lotukimo BH,DBH solar,696.8,988,1182,9.1,38,3.65,0.09,47.11,88052.53,56.96,23.95,176.05,895.3,1119.38,1.88,109.85,2.36,1.18,74.82,0.17,0.16,2.89,2.52,5.4,1.42,2.02,6.14,0.01,2.29,0.02,1.32,42.15,0.02,0.05,0.2,0.37,0.02,0.7,,,0.01,,29.6,,2.44,0.01,5.6,0.01,,5.25,0.03,650.1
131,6/8/24 19:54,2.85187,36.17572,405.11,Lotede Spring,Spring,36.9,1245,1456,8.9,36.6,3.45,0.23,93.59,117765.28,480.04,1305.22,206.05,1336.66,2563.47,2.13,2.27,3.12,70.71,563.05,0.66,1.13,5.23,4.78,4.66,1.37,3.13,18.09,1.39,5.95,0.03,1.12,70.63,0.05,0.07,0.52,0.23,0.33,0.45,,,0.01,,34.5,,3.84,0.07,12.8,1.32,,6.15,0.03,800.8
132,6/8/24 20:59,2.9499,36.08635,376.18,Ngimuriai BH 1,SBH pump,699.8,11329,13114,8.5,36.1,13.17,0.14,1102.19,907050.13,1508.69,17.21,144.59,2224.31,2810.19,1.7,30.46,2.45,22.34,806.46,0.09,0.22,14.76,158.76,4.41,8.89,5.11,191.44,0.02,223.48,0.28,2.72,39.07,0.05,0.14,1.1,1.49,0.04,15.59,,,0.01,,2020,,1.53,4.74,1880,1.53,,38,0.62,7212.7
133,6/8/24 21:20,2.9833,36.08051,381.74,Ngimuriai BH 2,SBH pump,699.3,17871,21142,8,37.6,13.33,0.09,1312.8,947050.13,16896.81,4.25,153.69,7193.47,7021.68,2.42,31.49,9.63,1.6,87.88,0.12,0.46,32.79,35.98,3.52,18.32,6.85,837.77,0.01,233.61,0.37,3.31,34.66,0.09,0.18,0.74,0.88,0.01,17.43,,,0.01,,4080,,1.67,6.37,2570,1.56,,187,0.03,11628.1
134,6/8/24 21:44,2.99986,36.06177,387.48,KaataPakin Well,OHD well,699,1081,1153,8.1,30.5,4.17,0.24,71.36,63888.45,3035.36,635.22,312.11,3177.17,26566.35,2.24,10.53,3.19,32.85,283.14,0.46,0.82,4.59,4.96,0.6,2.11,2.54,363.64,1.65,7.95,0.03,1.2,181.36,0.05,0.1,0.4,0.52,0.1,1.08,,,0.01,,106,,1.03,5.44,169,0.61,,167,0.03,634.15
135,6/8/24 22:08,3.00124,36.0622,391.27,KaataPakin  BH,SBH pump,693.8,13394,16113,7.7,38.4,19.25,0.12,1335.6,987050.13,23448.38,22.49,154.23,10103.01,19170.02,1.89,11.72,2.74,7.77,162.98,0.11,0.4,19.71,136.39,2.12,9.11,10.84,729.07,0.11,62.95,0.09,4.32,28.54,0.05,0.21,1.63,2.68,0.06,3.56,,,0.1,,2810,,1.25,0.01,2180,0.4,,540,0.03,8862.15
136,7/8/24 13:44,3.02636,35.89286,444.42,Kaikol Bore hole,DBH solar,696.6,3026,3264,9,31.8,3.79,0.11,260.45,282497.39,178.43,11.01,158.07,1045.02,1312.72,2.34,241.42,17.53,1.33,84.29,0.06,0.13,7.52,4.26,5.51,6.15,2.1,27.25,0.01,25.08,0.05,1.23,44.45,0.07,0.1,0.25,0.32,0.01,12.7,,,0.01,,278,,9.52,35.1,296,0.14,,5.44,0.16,1795.2
136,7/8/24 13:44,3.02636,35.89266,444.42,Kaikol Bore hole 2,DBH solar,696,89.7,94.8,8.9,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.14
137,8/8/24 14:27,3.10824,35.59389,496.89,Nablon BH 6,DBH solar,692.5,370,388,7.7,30.4,17.12,0.44,158.13,9796.36,5975.93,7.27,234.56,3899.13,34665.55,2.79,0.13,5.03,343.76,306.81,0.19,0.42,2.1,6.47,1.7,3.31,5.38,355.23,0.04,2.17,0.09,4.93,116.97,0.04,0.16,0.63,1.72,0.11,0.09,,,,,,,,,,,,,,213.4
139,8/8/24 15:51,3.10669,35.64328,485.45,Napuu Main Aquifer BH,DBH solar,692,779,881,8,31.8,5.24,,,140889.68,16584.62,2.96,,4905.51,42732.66,,62.95,-,19.54,303.39,1.47,31.77,6.94,14.75,1.88,,1.05,539.28,,,0.02,,94.35,,,0.02,,,3.17,,,0.01,,43,,1.94,2.3,41,0.89,,106,0.03,484.55
140,8/8/24 17:11,3.11991,35.65106,490.49,Natoot Farm BH,DBH solar,28,691,365,8.3,28.1,4.71,0.14,48.25,13357.18,4254.61,3.07,136.58,2033.23,11621.67,2.77,6.71,2.3,23.86,95.42,0.07,0.13,1.86,2.95,0.57,1.45,1.68,166.67,0.01,1.9,0.03,1.23,198.92,0.03,0.06,0.26,0.86,0.02,0.66,,,,,,,,,,,,,,200.75
141,8/8/24 17:58,3.11317,35.59806,507.44,Moi Garden BH 1,DBH solar,690,296,304,8.4,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.2
145,10/8/24 15:27,3.54741,35.92277,379.24,Longech BH treated,SBH pump,703.4,1346,1380,7.8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759
146,10/8/24 15:53,3.54815,35.92478,372.92,Longech Main BH raw,SBH pump,703,1302,1483,8.3,34.9,3.04,0.09,72.2,107235.21,1473.79,15.47,227.39,7342.54,6155.79,1.92,14.71,2.82,1.09,80.83,0.07,0.13,3.24,2.82,2.53,1.83,3.39,84.53,0.01,5.35,0.03,1.23,65.51,0.03,0.08,0.19,0.35,0.01,0.9,,,0.31,,66.3,,1.39,0.49,8.15,0.92,,44.9,0.03,815.65
147,10/8/24 16:20,3.54975,35.92434,377.34,Longech Hand well,OHD well,703.1,335,357.9,8,31.5,12.29,0.31,169.3,251024.35,3507.44,51.35,430.23,15863.81,13117.81,3.78,36.57,6.29,3.07,177.65,0.17,0.29,6.78,4.58,5.72,3.64,8.58,170.78,0.04,11.85,0.06,4.56,32.24,0.03,0.3,0.5,1.12,0.07,2.13,,,0.13,,11.7,,0.07,11.2,5.78,0.31,,111,0.03,196.85
148,10/8/24 17:47,3.54372,35.8479,389.85,Napasinyang Laga Well,OHD well,701,514,599,8.2,34,10.39,0.32,86.03,70386.97,2879.27,42.17,223.96,4129.67,21085.27,3.41,29.5,5.16,7.25,194.77,0.23,0.41,3.77,1.97,0.87,3.31,4.84,292.31,0.05,5.18,0.03,4.04,37.09,0.02,0.15,0.29,0.72,0.04,0.69,,,0.09,,19.4,,0.26,2.35,46.1,0.28,,66.6,0.03,329.45
149,10/8/24 18:16,3.55178,35.83627,391.4,Nakaria Pri school BH,DBH solar,700.3,7477,8601,8.1,35.6,11.03,-0.1,486.36,653378.07,1088.86,3.27,149.32,4090.16,3212.51,2.67,37.85,2.57,4.63,176.29,0.08,0.15,12.6,83.15,6.12,4.16,4.84,77.59,0.01,70.83,0.1,2.44,27.48,0.03,0.11,0.43,0.81,0.03,16.35,,,0.16,,897,,1.87,35.6,1590,0.29,,35.8,0.1,4730.55
150,10/8/24 18:54,3.46968,35.83074,417.05,Nakwei Pri school BH,DBH solar,697.8,11567,13328,8.3,35.8,22.3,0.08,,304266.28,2973.79,4.45,172.78,7201.68,2600.38,1.71,372.6,21.72,1.73,1.15,0.16,0.61,71.62,1.13,17.02,17.31,2.09,496.32,0,45.23,0.15,1.46,46.53,0.08,0.09,0.34,0.46,0.01,45.44,,,,,,,,,,,,,,7330.4
152,10/8/24 20:03,3.2748,35.71049,511.61,Kalotum Hand Well,OHD well,689,383.6,406.2,8.3,31,2.49,0.11,33.45,18406.21,1560.93,245.23,159.5,2490.63,13872.02,1.47,11.02,2.6,19.09,164.02,0.37,1.09,2.88,3.27,0.34,1.53,2.03,257.31,0.5,1.94,0.02,1,209.55,0.04,0.06,0.2,0.24,0.02,0.45,,,0.23,,9.38,,0.28,3.05,10.1,0.2,,72.6,0.06,223.41
153,11/8/24 15:10,3.1844,36.01652,397.27,Lopeyo Borehole,SBH pump,700.9,977,1095,8.3,34.1,2.55,0.1,39.76,77098.23,963.97,7.87,125.48,867.99,4124.12,2.4,4.21,2.18,21,89.62,0.06,0.19,3.14,4.16,1.02,1.7,1.61,58.17,0.03,4.44,0.02,1.05,63.28,0.04,0.09,0.24,0.26,0.01,3.34,,,0.03,,67.9,,1.4,0.32,86.6,0.28,,30.9,0.03,602.25
154,11/8/24 15:47,3.23734,36.02479,378.75,Fish store Borehole,DBH solar,701.3,722,814,8.6,38.4,1.68,,,154777.82,257.83,18.82,,692.9,2026.5,,246.55,,4.07,7.04,0.08,0.86,4.55,2.15,5.33,,0.17,21.11,,,0.01,,13.69,,,0.08,,,2.43,,,,,,,,,,,,,,447.7
155,11/8/24 16:35,3.25226,36.02079,373.7,Eliye Springs,Spring,701.5,813,950,9,36.4,7.6,0.13,104.44,84374.31,165.05,17.38,235.21,1077.69,1344.68,2.47,99.19,4.72,1.14,83.7,0.09,0.12,2.85,3.33,3.61,2.27,2.3,7.1,0.01,4.12,0.04,1.64,26.88,0.02,0.07,0.32,1.42,0.04,1.83,,,0.01,,10.4,,2.29,0.89,17.6,0.8,,5.61,0.03,522.5
156,11/8/24 17:49,3.2222,35.9466,457.94,Lochitet BH,DBH solar,694.2,436.7,487,8.2,34,9.95,0.12,179.36,29770.29,4035.66,4.51,136.31,2092.68,8288.98,0.11,15.46,2.5,1.7,102.63,0.11,0.15,1.99,4.21,0.87,1.72,3.02,272.16,0.01,1.76,0.06,1.9,138.53,0.03,0.11,0.49,2.79,0.08,1.05,,,0.01,,6.43,,0.5,0.3,14.7,0.02,,73.1,0.03,267.85
157,11/8/24 18:27,3.26865,35.95498,436.63,Lotiriwae BH,SBH pump,695.1,533,608,8.4,35.5,21.48,0.46,248.54,80828.93,1060.26,14.17,218.49,2088.6,4328.84,3.55,88.56,7.02,1.71,192.5,0.2,0.16,4.36,46.65,1.81,4.47,6.31,56.49,0.04,1.16,0.13,5.55,20.27,0.05,0.22,1.29,2.32,0.15,1.54,,,,,,,,,,,,,,334.4
158,11/8/24 18:53,3.33489,35.93516,428.19,Ebolo BH,SBH pump,695,374,447,8.6,37.8,3.15,0.18,30.06,14518.6,531.3,827.6,177.54,1004.49,4247.51,2.33,30.96,3.65,32.92,568.26,0.48,1.09,4.26,310.19,0.63,1.64,2.83,25.85,1.09,0.37,0.04,1.16,222.9,0.03,0.03,7.77,0.38,0.22,0.28,,,,,,,,,,,,,,245.85
159,11/8/24 19:18,3.33596,35.87892,434.74,Lochor Aikey,OHD well,695,330,357,8.1,31.9,2.52,0.16,43.08,14981.71,1743.93,572,205.39,1963.19,11467.94,3.17,16.02,3.27,22.16,277.46,0.45,1.07,4.6,2.57,0.42,2.13,2.19,183.32,0.84,1.84,0.03,1.01,45.18,0.08,0.06,0.24,0.38,0.06,0.17,,,0.01,,16.3,,0.43,10.7,16.4,0.52,,77.9,0.05,196.35
